merchant,amount,category
nan,2700.0,Bills & Utilities
Boroline + band aid,50.0,Healthcare
Supermart,3055.0,Shopping
3 months subscription Mobile,149.0,Bills & Utilities
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
Candid dusting powder,59.0,Healthcare
Supermart,155.0,Shopping
vegetables,135.0,Food & Dining
vegetables,30.0,Food & Dining
Cooktop installation+ base,600.0,Shopping
From workplace,61578.0,Income
interest paid,778.0,Income
clothes ironing : Rs 6 per item,60.0,Shopping
Gupta bhel,25.0,Food & Dining
Vanila cup,10.0,Food & Dining
3 tablet Nor tz,21.0,Healthcare
Current Residence - Tata Play recharge,215.0,Bills & Utilities
2 Place 1 to Place 2 - Novelty tour and travels,2388.0,Transportation
nan,312.0,Shopping
farewell contribution,334.0,Shopping
half kg chiku,30.0,Food & Dining
Apple 2 kg (110) + Banana 1kg (80),300.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
Place 0 to WS return,10.0,Transportation
2,560.0,Entertainment
Half kg pedhe,280.0,Food & Dining
hair cut,100.0,Shopping
Chicken masala gravy,100.0,Food & Dining
Place 0 to Current Residence,15.0,Transportation
Vadapav,15.0,Food & Dining
nan,10.0,Food & Dining
Place 0 to dadar return,30.0,Transportation
Surgical gloves pair,20.0,Healthcare
nan,55.0,Healthcare
half kg chiku,60.0,Food & Dining
Nariyal,55.0,Food & Dining
nan,114.0,Shopping
nan,151.0,Healthcare
Supermart,558.0,Shopping
nan,35.0,Food & Dining
1.5 lit milk,99.0,Food & Dining
Sugaran Kitchen,60.0,Food & Dining
nan,130.0,Food & Dining
Nariyal,55.0,Food & Dining
nan,373.0,Healthcare
Doctor Fees,150.0,Healthcare
2 Place 2 to Place 1 - Novelty tour and travels,1400.0,Transportation
2 tea parcel,24.0,Food & Dining
2 plates poha,50.0,Food & Dining
milk 1lit,66.0,Food & Dining
nan,282.0,Food & Dining
Current Residence - Tata Play recharge,100.0,Bills & Utilities
Sugaran Kitchen,110.0,Food & Dining
milk 1lit,66.0,Food & Dining
Current Residence to Place 1 bus stop highway,60.0,Transportation
2 Place 1 to Place 2 - Novelty tour and travels,2598.0,Transportation
vegetables,285.0,Food & Dining
Local pass to Family,100.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Idli 4 pcs + kachori 4 pcs,93.0,Food & Dining
Supermart,514.0,Shopping
V-wash,45.0,Healthcare
2 Place 1 to Place 2 - Novelty tour and travels,1440.0,Transportation
M D sure 4kg atta,196.0,Food & Dining
Sweet bread cake 90 + veg puff 2,140.0,Food & Dining
nan,2700.0,Bills & Utilities
4 cups (2 Vanilla 2 tutifruity),40.0,Food & Dining
nan,170.0,Bills & Utilities
milk 1lit,66.0,Food & Dining
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
Odonil,60.0,Shopping
Honey small bottle,10.0,Shopping
Janeyu,5.0,Shopping
Nariyal,25.0,Shopping
1.5 lit milk,99.0,Food & Dining
5 Meftal spas,22.0,Healthcare
From workplace,61578.0,Income
Ola cab - Domestic airport T1 to Current Residence,640.0,Transportation
Misc expense,200.0,Travel
2 chips packets,20.0,Food & Dining
Misc expense,100.0,Travel
Vicks inhaler,59.0,Healthcare
market to resort,200.0,Transportation
Parle G chota pack,5.0,Food & Dining
strepsils 13 pills,39.0,Healthcare
Auto : Mahal to hotel,40.0,Transportation
roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,325.0,Food & Dining
2 Bedsheets (1500 each),3000.0,Shopping
Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),5200.0,Shopping
180 Chicken Sandwich + 120 vada pav & Samosa,300.0,Food & Dining
Ola cab - Current Residence to Domestic airport T1,850.0,Transportation
Mahanagar Gas connection installation,300.0,Shopping
nan,11043.0,Healthcare
Selfie stick Bluetooth tripod,280.0,Shopping
Shaving,50.0,Shopping
1.5 kg onions,33.0,Food & Dining
Lens cleaner,80.0,Shopping
Baskin Robbins,166.0,Food & Dining
280 chicken dum biryani+ 200 paneer tikka laziz + GST,504.0,Food & Dining
BKC to kurla station,60.0,Transportation
Ola cab - siddhivinayak to BKC,361.0,Transportation
Dadar West to siddhivinayak,25.0,Transportation
2 Place 0 to dadar return,60.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
clothes ironing : Rs 6 per item,48.0,Shopping
Foldable wardrobe,569.0,Shopping
2 locks for bags,60.0,Shopping
Colgate max fresh small,20.0,Shopping
Dettol sanitizer,45.0,Shopping
Current Residence - Tata Play recharge,217.0,Bills & Utilities
Sugar 1kg Rs.55 + shengdana Rs.33,88.0,Shopping
2 Bhaji pav + 1 vadapav,45.0,Food & Dining
Wifi Router TP link,1400.0,Shopping
1.5 lit milk,99.0,Food & Dining
Steam machine,320.0,Shopping
Biscuits+ onions,112.0,Shopping
2 Place 2 to Place 1 - Shree Sharma Travels,1665.0,Transportation
Rakshabandhan ovalini,500.0,Shopping
2 CD to Place 1: shivshahi,470.0,Transportation
within city,100.0,Transportation
2 Place 1 to VN,330.0,Transportation
Current Residence to Place 1 bus stop highway,60.0,Transportation
Dahi (42) + Vanilla essance (34),76.0,Shopping
milk 1lit,66.0,Food & Dining
Dettol liquid handwash refill,218.0,Shopping
Move jel,125.0,Healthcare
Tours and Travel,43000.0,Travel
milk 1lit,66.0,Food & Dining
Half lit  milk,33.0,Food & Dining
Vicks VapoRub,22.0,Healthcare
nan,170.0,Bills & Utilities
nan,302.0,Shopping
krack Jack biscuits,5.0,Food & Dining
5 chapati,25.0,Food & Dining
Purse on occasion of Rakshabandhan,909.0,Shopping
Purse on occasion of Rakshabandhan,1145.0,Shopping
Family's dresses,989.0,Shopping
Cinarest,27.0,Healthcare
Medical tests - Family,6190.0,Healthcare
Family Mobile Service Provider recharge,2999.0,Bills & Utilities
milk 1lit,68.0,Food & Dining
nan,170.0,Bills & Utilities
nan,2700.0,Bills & Utilities
Maggie 1 pck,14.0,Food & Dining
milk 1lit,66.0,Food & Dining
Myntra - tshirt+ denim shorts,399.0,Shopping
4 paracetamol tablets,10.0,Healthcare
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
Catering Service:Chicken masala (90)+2 chapati (10),100.0,Food & Dining
ola auto - Current Residence to McD,65.0,Transportation
4 eggs,22.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
2 Neeta travels : Place A to pune,895.0,Transportation
Laptop repair,1000.0,Shopping
Laptop repair ( 128gb SSD rs 2200+ 500gb HDD Rs.1800 + Msoffice+ windows),3000.0,Shopping
Chicken roll kasha,100.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
From workplace,61578.0,Income
milk 1lit,64.0,Food & Dining
Hospital consultation,556.0,Healthcare
ola auto - Current Residence to hospital Place 6,97.0,Transportation
2 Place 0 to Current Residence,30.0,Transportation
Hospital consultation,167.0,Healthcare
Hospital consultation,3050.0,Healthcare
2 Place 0 to Place 6 return,20.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Non veg overloaded pizza,215.0,Food & Dining
Chicken lollypop 4 pcs,203.0,Food & Dining
Distilled water refill Inverter (Rs.100 given by Family),200.0,Shopping
nan,19350.0,Income
Tours and Travel,20000.0,Travel
Garlic bread + periperi masala fries,248.0,Food & Dining
4 eggs,22.0,Food & Dining
milk 1lit,64.0,Food & Dining
For tata sky installation (100 rs given by Family ),200.0,Shopping
Tata sky STB (1299)+ 1 month recharge (226)+ extra wire 45meters(540),2065.0,Shopping
Amul butter,52.0,Food & Dining
milk 1lit,64.0,Food & Dining
Half lit  milk,33.0,Food & Dining
nan,88.0,Food & Dining
Puri packet of 50 pcs,50.0,Food & Dining
Annual recharge,2545.0,Bills & Utilities
Half lit  milk,32.0,Food & Dining
4 eggs,22.0,Food & Dining
Half lit  milk,32.0,Food & Dining
Thumbs up 250ml,20.0,Food & Dining
5 litres can,70.0,Food & Dining
Gehu 3 kg Rs21 + bajari 1kg Rs 7 + dal 1.5 kg Rs15,43.0,Food & Dining
potato 1kg,35.0,Food & Dining
Pakad,240.0,Shopping
Umbrella,540.0,Shopping
onion 2.5 kg,55.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
9 clothes ironing,63.0,Shopping
Lemon tea,60.0,Food & Dining
1 dal makhani rice(200)+ 1 chicken tikka rice(220)+chocolate pastry (120),540.0,Food & Dining
2 Place 0 to TB returns,40.0,Transportation
Gupta bhel,25.0,Food & Dining
Half lit  milk,32.0,Food & Dining
chocobar,15.0,Food & Dining
farewell contribution,500.0,Shopping
milk 1lit,64.0,Food & Dining
chocobar,15.0,Food & Dining
2 packets,50.0,Food & Dining
nan,2923.0,Shopping
sugarcane juice,20.0,Food & Dining
Vadapav,20.0,Food & Dining
2 Place 3m to Mumbai vidyapeeth,12.0,Transportation
2 Place 0 to Place 3 returns,80.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Pizza base packet - Patil dairy,30.0,Food & Dining
4 eggs,26.0,Food & Dining
milk 1lit,64.0,Food & Dining
Paneer mutter Rs.90+ 5 chapati Rs.25,115.0,Food & Dining
2 Kg Onion 30/kg + 1 kg Potato 30/kg + Parle Biscuit Rs 10,100.0,Food & Dining
veg fried rice 1 full,180.0,Food & Dining
Catering Service (1 bhaji 30 + 3 chapti 15),45.0,Food & Dining
Dalich peeth pav kg,25.0,Food & Dining
nan,2700.0,Bills & Utilities
Place 1 bridge to Current Residence 2 seats,60.0,Transportation
nan,35.0,Food & Dining
milk 1lit,64.0,Food & Dining
nan,170.0,Bills & Utilities
7 mava kulfie,140.0,Food & Dining
2 Place 2 to Place 1 - Shree Sharma Travels,1711.0,Transportation
nan,1000.0,Income
nan,1000.0,Income
nan,10000.0,Income
Forrest essential perfume,4800.0,Shopping
interest paid,870.0,Income
From workplace,56957.0,Income
Shaving,60.0,Shopping
Place 2 station to hospital 2 seat,50.0,Transportation
2 Place 0 to tilaknagar single side,30.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Chicken lollypop 4 pcs,186.5,Food & Dining
5rs mirchi + crack-jack,15.0,Food & Dining
New RD opened for 3 years,1000.0,Income
New FD opened for 3 years,200000.0,Income
Cough-sills 4 pcs,12.0,Healthcare
2 kachori,24.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
milk 1lit,64.0,Food & Dining
Place 0 to WS return,10.0,Transportation
milk 1lit,64.0,Food & Dining
Shengdane pav kg,35.0,Food & Dining
milk 1lit,64.0,Food & Dining
Forrest essential after shave,1595.0,Shopping
Taco Bell veg combo,261.0,Food & Dining
2 Place 0 to WS returns,20.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Cupcake mould,250.0,Shopping
Shev bhaji sev pav kg,60.0,Food & Dining
M D sure 3kg atta,141.0,Food & Dining
Amul malai paneer pav kg,80.0,Food & Dining
Bread,18.0,Food & Dining
milk 1lit,64.0,Food & Dining
H to kala circle,12.0,Transportation
Kala circle to H,15.0,Transportation
milk 1lit,64.0,Food & Dining
Jeff kellar's winning attitude,137.0,Shopping
milk 1lit,64.0,Food & Dining
milk 1lit,64.0,Food & Dining
hair cut,100.0,Shopping
milk 1lit,64.0,Food & Dining
Covaxin booster dose,386.0,Healthcare
2 Kushinagar express (LTT to Place 2),501.0,Transportation
TOI,170.0,Bills & Utilities
nan,1000.0,Income
2 Place 0 to Current Residence,30.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
2 tickets - Cinepolis 4DX 3D,760.0,Entertainment
Bread,35.0,Food & Dining
milk 1lit,64.0,Food & Dining
6 pcs,35.0,Food & Dining
Sanjori mould,26.0,Shopping
2 Veg puff,40.0,Food & Dining
milk 1lit,64.0,Food & Dining
Chicken Biryani 120+ dal rice 60,180.0,Food & Dining
2 Cadbury dairy milk,20.0,Food & Dining
3 Sinarest,18.0,Healthcare
Sofy antibacterial,190.0,Healthcare
nan,1000.0,Income
Pav kg Simla mirch 20 + Hari mirch 5,25.0,Food & Dining
milk 1lit,64.0,Food & Dining
sugarcane juice,20.0,Food & Dining
Supermart,267.0,Shopping
Non veg overloaded pizza,242.95,Food & Dining
nan,2700.1,Bills & Utilities
Vadapav,20.0,Food & Dining
M D sure 3kg atta,141.0,Food & Dining
2 kachori,24.0,Food & Dining
milk 1lit,65.0,Food & Dining
nan,10000.0,Income
undergarments pair of Jockey,655.0,Shopping
From workplace,56970.0,Income
5 chapati,25.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
Slice + Pepsi,40.0,Food & Dining
2 veg Frankie,120.0,Food & Dining
Crockery,275.0,Shopping
2 tea,34.0,Food & Dining
2 Place 0 to Place P return,80.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Half kg potato + half kg banana,35.0,Food & Dining
milk 1lit,64.0,Food & Dining
nan,996.0,Shopping
2 kachori,24.0,Food & Dining
nan,45.0,Food & Dining
Mango 1 kg,140.0,Food & Dining
nan,30.0,Food & Dining
nan,60.0,Food & Dining
Medu vada 1 plate + dal vada 1,70.0,Food & Dining
milk 1lit,64.0,Food & Dining
Pav kg tomato,20.0,Food & Dining
Ragda Puri,30.0,Food & Dining
Place 0 to Vikhroli single,15.0,Transportation
nan,261.0,Bills & Utilities
Samosa pav @ kurla,15.0,Food & Dining
Place 0 to Vikhroli return,30.0,Transportation
milk 1lit,64.0,Food & Dining
Gupta bhel,25.0,Food & Dining
Rasna orange,46.0,Shopping
M D sure 2kg atta,88.0,Food & Dining
3 pin Holder,50.0,Shopping
Coke 750ml,40.0,Food & Dining
sugarcane juice,15.0,Food & Dining
nan,11043.0,Healthcare
2 Place 0 to Place 4 return,30.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
3 kg ( 2kg bajari Rs 7 each + 1kg gahu & maka mix Rs.10),24.0,Food & Dining
Decathlon to station,20.0,Transportation
Monthly recharge,261.0,Bills & Utilities
pav bhaji + 5 pav extra,219.0,Food & Dining
nan,10.0,Food & Dining
nan,60.0,Food & Dining
Bhai poli,45.0,Food & Dining
Poha,25.0,Food & Dining
Shaving,50.0,Shopping
milk 1lit,64.0,Food & Dining
nan,10.0,Food & Dining
nan,5.0,Food & Dining
Vanila family pack,99.0,Food & Dining
Full egg fried rice 100 + Manchurian dry 100,210.0,Food & Dining
nan,10.0,Food & Dining
nan,10.0,Food & Dining
Razor Blade,247.0,Shopping
Non veg combo meal,234.0,Food & Dining
nan,5.0,Food & Dining
March 210 + April 170,380.0,Bills & Utilities
Veg cheese grill sandwich,100.0,Food & Dining
Poha 25+ tea 10,35.0,Food & Dining
Shev bhaji sev,50.0,Shopping
Non veg overloaded pizza,242.0,Food & Dining
Non veg overloaded pizza,242.0,Food & Dining
nan,10.0,Food & Dining
4 chapati,20.0,Food & Dining
nan,5.0,Food & Dining
Medu vada 1 plate,35.0,Food & Dining
nan,10.0,Food & Dining
4 chapati,20.0,Food & Dining
nan,10.0,Food & Dining
Full egg fried rice 100 + chicken lollypop 4 pcs 130,233.0,Food & Dining
nan,230.0,Bills & Utilities
nan,10.0,Food & Dining
Body hair removal cream,318.0,Shopping
4 chapati,20.0,Food & Dining
Sweet bread cake 85 + veg puff 2,125.0,Food & Dining
Dudhi 30 + 3 chapati,45.0,Food & Dining
Tea + 2 kachori,34.0,Food & Dining
nan,1000.0,Income
Cornetto butterscotch,40.0,Food & Dining
nan,10.0,Food & Dining
4 chapati,20.0,Food & Dining
Chana masala 30 + 3 chapati,45.0,Food & Dining
Egg fry + chicken lollypop,191.0,Food & Dining
Poha 25+ tea 10,35.0,Food & Dining
Aloo mutter sabji,30.0,Food & Dining
Chicken manchow soup,98.0,Food & Dining
No daily limit plan ( 25 GB 30 days),296.0,Bills & Utilities
Double omlet pav + tea,45.0,Food & Dining
5 chapati,25.0,Food & Dining
Veg puff,20.0,Food & Dining
nan,10.0,Food & Dining
Paneer masala + hara bhara kabab 6 pcs,330.0,Food & Dining
Bhendi masala 30 + 3 chapati,45.0,Food & Dining
sugarcane juice,20.0,Food & Dining
Bread,33.0,Food & Dining
nan,1000.0,Income
No daily limit plan ( 25 GB 30 days),296.0,Bills & Utilities
Place 0 to Current Residence,15.0,Transportation
40 Place 0 to Place 3 return+ 20 single,60.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Place 0 to Place 6 return,10.0,Transportation
Gas stove elica 3 burner,8825.0,Shopping
Decathlon shoes,1811.0,Shopping
Place 3 to Place 2 sevagram,1100.0,Transportation
nan,2700.1,Bills & Utilities
Q-dee strip,40.0,Healthcare
Puma Troy mu running shoes,2421.0,Shopping
2 cups,20.0,Food & Dining
milk 1lit,64.0,Food & Dining
2 Fried rice,321.0,Food & Dining
2 Place 0 to Current Residence,30.0,Transportation
2 Place 0 to WS single,10.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Shorts for Family,399.0,Shopping
H&M Tshirt for Family,599.0,Shopping
M D sure 1kg atta,47.0,Food & Dining
nan,10000.0,Income
chocobar,10.0,Food & Dining
From workplace,56957.0,Income
2 Place 0 to Current Residence,30.0,Transportation
6 bananas,25.0,Food & Dining
Chicken lollypop 8 pcs,221.0,Food & Dining
2 Pani Puri+ 1 samosa chat,110.0,Food & Dining
Chota bread,17.0,Food & Dining
milk 1lit,64.0,Food & Dining
Cup of butterscotch (20) + chocobar (10),30.0,Food & Dining
1 month subscription,149.0,Bills & Utilities
milk 1lit,64.0,Food & Dining
farewell contribution,385.0,Shopping
2 kachori,24.0,Food & Dining
Place 6 station to college,10.0,Transportation
2 Place 0 to Place 6 return,20.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
milk 1lit,64.0,Food & Dining
Ladyfinger pav kg,15.0,Food & Dining
2 Veg puff,40.0,Food & Dining
sugarcane juice,20.0,Food & Dining
Place 0 to Vikhroli return,30.0,Transportation
milk 1 lit (64) + paneer (75) + bread (30) + 6 eggs (36),205.0,Food & Dining
Q-dee strip,40.0,Healthcare
Monthly recharge,261.0,Bills & Utilities
Smart point,621.68,Shopping
milk 1lit,64.0,Food & Dining
Raspberry dolly,20.0,Food & Dining
milk 1lit,64.0,Food & Dining
"The X restaurant, Place 1",1076.0,Food & Dining
nan,192.0,Bills & Utilities
8 pcs meduvada + 4 pcs dal vada + sambar + chatni,125.0,Food & Dining
sugarcane juice,20.0,Food & Dining
nan,1000.0,Income
Place 6 to Place 2 - 3Tier AC cancellation charges,213.6,Transportation
nan,1000.0,Income
chocobar (25)+ chocolate cup (20),45.0,Food & Dining
1 chicken shawarma,60.0,Food & Dining
nan,2700.1,Bills & Utilities
egg roll,40.0,Food & Dining
Half kg potato,10.0,Food & Dining
Sambar masala (32)+ 2 milkybar,52.0,Food & Dining
nan,10000.0,Income
From workplace,56102.0,Income
2 Place 0 to dadar return,60.0,Transportation
siddhivinayak to shiv sena bhavan,30.0,Transportation
Dadar West to siddhivinayak,30.0,Transportation
( pav bhaji + 2 extra pav + sabudana khichdi + kothimbir vada + masala bhat + piyush ),495.0,Food & Dining
Place 4 station to Place 4 plaza,15.0,Transportation
Laptop repair (servicing+ 2gb ram upgrade + fan replacement + antivirus),2500.0,Shopping
Place 0 to Current Residence,15.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
interest paid,508.0,Income
nan,245.0,Shopping
Soda water,12.0,Food & Dining
USB cord,260.0,Shopping
milk 1lit,60.0,Food & Dining
Smart,786.0,Shopping
milk 1 lit,60.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
Tablet,29.0,Healthcare
Jel,110.0,Healthcare
Place 2 to Place 1,900.0,Transportation
Doctor Fees,150.0,Healthcare
milk 1 lit,60.0,Food & Dining
3 sugarcane juice,60.0,Food & Dining
2 Place 0 to Current Residence,20.0,Transportation
nan,50.0,Transportation
Mattress advance,500.0,Shopping
within city,33.0,Transportation
2 Place 6 to Place 7,18.0,Transportation
2 Place 0 to WS returns,20.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
Place 6 to Place 2,600.0,Transportation
2 Spike guard,450.0,Shopping
Mobile Service Provider freedom pack,296.0,Bills & Utilities
2 samosa (32) + 25 Pani Puri,57.0,Food & Dining
nan,160.0,Food & Dining
Grapes + apple + guava,310.0,Food & Dining
6 months ( 30mb UL plan + 1 month free),2820.0,Bills & Utilities
drainage powder,50.0,Shopping
2 toast+ 2 parle g + Marie gold,111.0,Shopping
2 softy,40.0,Food & Dining
2 bath stool,300.0,Shopping
nan,100.0,Food & Dining
Wall hanging clipboard,400.0,Shopping
hair cut,100.0,Shopping
ceiling fans repair,1600.0,Shopping
2 Place 0 to Current Residence,30.0,Transportation
2 sugarcane juice,40.0,Food & Dining
pav bhaji pav(90) + 4 pav extra(40),130.0,Food & Dining
2 Batman tickets,440.0,Entertainment
2 Place 0 to Place 4 return,40.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
2 Place 0 to Current Residence,30.0,Transportation
2 Place 0 to WS returns,20.0,Transportation
bhel + shev puri,60.0,Food & Dining
1.5 lit milk + 3 cold drink + 1 khari + 1 bread,200.0,Food & Dining
2 Place 2 to Place 1,1599.98,Transportation
Mobile Service Provider freedom pack,296.0,Bills & Utilities
milk 1lit,62.0,Food & Dining
3 plate kachori,72.0,Food & Dining
nan,1000.0,Income
2 orange juices,100.0,Food & Dining
2 Schwan chutteny + 2 cheese cube + amul butter,100.0,Food & Dining
naturals,150.0,Food & Dining
1 kg apple + grapes 0.5 kg,190.0,Food & Dining
nan,105.0,Food & Dining
vanilla ice cream cups 2,20.0,Food & Dining
milk 1lit,62.0,Food & Dining
nan,2700.1,Bills & Utilities
milk 1lit,62.0,Food & Dining
2 plate medu vada + 2 pcs dal vada,45.0,Food & Dining
footwear repair,10.0,Shopping
plastic kharata + brush,140.0,Shopping
nan,949.0,Food & Dining
Place 0 to sec 21,30.0,Transportation
sugarcane juice 2,30.0,Food & Dining
Place 0 to Place 6 return 2,20.0,Transportation
Current Residence to Place 0,30.0,Transportation
nan,1000.0,Income
vanilla ice cream cups 2,20.0,Food & Dining
milk 1 lit + butter milk + srikhand pav kg,148.0,Food & Dining
measuring tape,50.0,Shopping
nan,10000.0,Income
within city,40.0,Transportation
From workplace,56021.0,Income
sabudana + rajgira ladu,85.0,Food & Dining
Place 0 to Current Residence,30.0,Transportation
2 Place 3m to vadala rd,10.0,Transportation
BEST 138 - Marine drive to Place 3m,12.0,Transportation
nan,10.0,Food & Dining
At restaurant,2421.0,Food & Dining
2 Santacruz to churchgate,20.0,Transportation
sugarcane juice 2,30.0,Food & Dining
share auto - mumbai University Kalina to Santacruz station,40.0,Transportation
Current Residence to Place 0,30.0,Transportation
2 Santacruz return,80.0,Transportation
Santacruz to Kalina University,57.0,Transportation
2 TB return,40.0,Transportation
Place 0 to Current Residence,30.0,Transportation
Current Residence to Place 0,30.0,Transportation
6 chapati(8 rs) + half rice,88.0,Food & Dining
3 Wall clock cell,55.0,Shopping
milk 1lit  + amul butter milk,76.0,Food & Dining
Place 0 to WS returns,20.0,Transportation
Current Residence to Place 0,30.0,Transportation
nan,846.0,Shopping
dustbin + basin sink cover,360.0,Shopping
2 Jumbo king burger,58.0,Food & Dining
exide inverter battery 150amp,8500.0,Shopping
tube and inverter fitting,1600.0,Shopping
hp cylinder,920.0,Shopping
veg paneer tikka 4 roti,318.0,Food & Dining
nan,100.0,Bills & Utilities
veg triple Schwan fried rice,247.0,Food & Dining
milk 1 lit + butter milk,75.0,Food & Dining
3 tea yevle amrutullya,30.0,Food & Dining
At restaurant,100.0,Food & Dining
2 vanilla + 2 butterscotch,80.0,Food & Dining
Place 2 to Place 1,5500.0,Transportation
pav vada,10.0,Food & Dining
To Family,23.0,Income
sugarcane juice 2,30.0,Food & Dining
undergarments pair of Jockey,498.0,Shopping
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
farewell contribution,400.0,Shopping
nan,11286.0,Healthcare
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
single pav vada,10.0,Food & Dining
nan,1000.0,Income
Handbag to Family,1499.0,Shopping
half kg chiku,30.0,Food & Dining
1 kg apple,140.0,Food & Dining
vegetables,195.0,Food & Dining
jira + toast pav kilo,110.0,Food & Dining
within city,40.0,Transportation
nan,10.0,Food & Dining
N to M,330.0,Transportation
nan,1000.0,Income
clothes ironing,38.0,Shopping
5 pouch of shreejal,60.0,Food & Dining
samosa + sabudana vada,53.0,Food & Dining
half liter buffalo,30.0,Food & Dining
meftal spas,8.0,Healthcare
parath + chicken biryani,412.25,Food & Dining
shreejal 1,12.0,Food & Dining
parle top biscuits,10.0,Food & Dining
chicken roll,50.0,Food & Dining
nan,2700.1,Bills & Utilities
At restaurant,1160.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
half liter buffalo,33.0,Food & Dining
nan,10000.0,Income
From workplace,63101.0,Income
half liter buffalo,35.0,Food & Dining
half liter buffalo,35.0,Food & Dining
single pav vada,15.0,Food & Dining
3 parathe ( 80 mix veg + 70 methi + 100 paneer aloo),250.0,Food & Dining
cheese chilli toast sandwich 1,60.0,Food & Dining
2 Shegaon kachori (nasik),30.0,Food & Dining
brown bread,35.0,Food & Dining
half liter buffalo,35.0,Food & Dining
within city,30.0,Transportation
2 tickets Place 2 to N,510.0,Transportation
within city,30.0,Transportation
nan,181.0,Bills & Utilities
Birthday gift,649.0,Shopping
nan,410.0,Food & Dining
Mobile Service Provider recharge,149.0,Bills & Utilities
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
2 Bombay vada pav,20.0,Food & Dining
GHroad to Permanent Residence,40.0,Transportation
chair pair,2400.0,Shopping
chole + shev,140.0,Food & Dining
fruits and vegetables + kirana,540.0,Food & Dining
3 chips packets + bread,45.0,Food & Dining
adulsa ( tonic for cough ),90.0,Healthcare
nan,1000.0,Income
1 kg apple + bananas,160.0,Food & Dining
Himalaya soap(30) + Sofie (59) + kitkat (10),99.0,Food & Dining
hair cut+shaving,80.0,Shopping
1 month subscription,149.0,Bills & Utilities
Place 2 bus stand to Permanent Residence,50.0,Transportation
woffel,175.0,Food & Dining
Current Residence to hotel on highway,50.0,Transportation
Place 1 to Place 2 - Novelty tour and travels,1396.5,Transportation
veg paneer tikka 3 roti,294.0,Food & Dining
milk 0.5 lit,31.0,Food & Dining
moscuito racket,200.0,Shopping
4 Shegaon kachori,48.0,Food & Dining
nan,1000.0,Income
inverter battery check,100.0,Shopping
milk 0.5 lit,31.0,Food & Dining
Mobile Service Provider recharge wfh,301.0,Bills & Utilities
biscuits+icecream,40.0,Food & Dining
nan,2816.92,Bills & Utilities
fruits and vegetables,140.0,Food & Dining
Pastry 2,50.0,Food & Dining
yevle amrutullya,20.0,Food & Dining
milk 0.5 lit,31.0,Food & Dining
2 uttapam,310.0,Food & Dining
nan,70.0,Food & Dining
farm house pizza,330.0,Food & Dining
Imax 3D,400.0,Entertainment
Place 0 to WS returns,20.0,Transportation
Current Residence to Place 0,30.0,Transportation
Current Residence to Place 0,60.0,Transportation
belan,110.0,Shopping
1 veg noodles + 1 chicken soup + 1 egg fried rice,386.0,Food & Dining
fruits and vegetables,510.0,Food & Dining
antibiotics,354.0,Healthcare
1kg atta,40.0,Food & Dining
Channi + viper+ ghasni,50.0,Shopping
pizza meal,340.0,Food & Dining
Doctor Fees,300.0,Healthcare
nan,100000.0,Income
milk + butter + biscuits/toast,77.0,Food & Dining
1 chicken shawarma + 1 chicken lollipop - 1 veg cheese burger,375.0,Food & Dining
1 Panipuri,25.0,Food & Dining
Birthday gift,1096.0,Shopping
strepsils 1 strip,24.0,Healthcare
veg fried rice,170.0,Food & Dining
From workplace,56574.0,Income
EMI 1,2816.0,Bills & Utilities
edible oil,160.0,Food & Dining
Permanent Residence to bus stand,100.0,Transportation
2 chips packets,10.0,Food & Dining
1 sher bajri 1 kg dadar 1 kg makka,14.0,Food & Dining
nan,214.0,Bills & Utilities
